,year,week,SMN,SMT,VCI,TCI,VHI,province
0,1982,1,0.059,258.24,51.11,48.78,49.95,10
1,1982,2,0.063,261.53,55.89,38.2,47.04,10
2,1982,3,0.063,263.45,57.3,32.69,44.99,10
3,1982,4,0.061,265.1,53.96,28.62,41.29,10
4,1982,5,0.058,266.42,46.87,28.57,37.72,10
5,1982,6,0.056,267.47,39.55,30.27,34.91,10
6,1982,7,0.055,268.58,35.19,31.1,33.14,10
7,1982,8,0.057,270.15,33.35,32.09,32.72,10
8,1982,9,0.057,271.6,30.82,34.71,32.77,10
9,1982,10,0.057,273.1,27.66,36.79,32.23,10
10,1982,11,0.063,275.28,26.28,34.48,30.38,10
11,1982,12,0.074,277.68,25.86,36.39,31.12,10
12,1982,13,0.085,279.65,22.76,40.53,31.65,10
13,1982,14,0.098,281.32,18.26,46.96,32.61,10
14,1982,15,0.107,282.33,11.26,59.73,35.49,10
15,1982,16,0.129,284.0,9.15,69.23,39.19,10
16,1982,17,0.161,286.23,10.63,71.64,41.14,10
17,1982,18,0.203,288.95,15.19,63.82,39.5,10
18,1982,19,0.252,291.41,20.85,53.29,37.07,10
19,1982,20,0.299,292.91,25.37,50.39,37.88,10
20,1982,21,0.337,293.36,27.36,54.62,40.99,10
21,1982,22,0.365,293.44,27.7,59.02,43.36,10
22,1982,23,0.382,293.2,25.81,64.8,45.31,10
23,1982,24,0.387,293.07,23.2,69.39,46.3,10
24,1982,25,0.391,293.01,24.85,72.85,48.85,10
25,1982,26,0.393,292.94,26.26,75.5,50.88,10
26,1982,27,0.395,293.2,29.3,74.36,51.83,10
27,1982,28,0.394,293.59,32.87,70.5,51.68,10
28,1982,29,0.398,294.27,41.28,61.94,51.61,10
29,1982,30,0.396,294.91,46.61,53.26,49.93,10
30,1982,31,0.388,295.31,44.7,47.31,46.0,10
31,1982,32,0.377,295.37,41.61,45.51,43.56,10
32,1982,33,0.37,295.42,40.74,41.66,41.2,10
33,1982,34,0.364,295.57,42.81,34.03,38.42,10
34,1982,35,0.356,295.18,48.36,30.07,39.22,10
35,1982,36,0.341,294.46,51.96,26.29,39.13,10
36,1982,37,0.319,293.44,50.58,23.92,37.25,10
37,1982,38,0.296,291.84,47.7,25.06,36.38,10
38,1982,39,0.27,289.87,43.68,28.31,35.99,10
39,1982,40,0.241,287.77,37.99,31.74,34.87,10
40,1982,41,0.213,286.01,33.2,26.73,29.96,10
41,1982,42,0.19,284.41,32.7,23.62,28.16,10
42,1982,43,0.165,282.63,32.42,22.36,27.39,10
43,1982,44,0.143,280.65,32.85,17.25,25.05,10
44,1982,45,0.116,278.11,29.59,18.01,23.8,10
45,1982,46,0.094,275.77,27.12,18.52,22.82,10
46,1982,47,0.078,273.4,28.51,20.32,24.41,10
47,1982,48,0.066,270.63,29.19,25.49,27.34,10
48,1982,49,0.057,268.48,29.21,27.86,28.53,10
49,1982,50,0.05,266.59,27.74,28.01,27.87,10
50,1982,51,0.048,264.57,31.33,28.33,29.83,10
51,1982,52,0.045,263.1,32.98,31.0,31.99,10
52,1983,1,0.044,262.64,33.09,32.41,32.75,10
53,1983,2,0.045,263.56,35.38,31.03,33.21,10
54,1983,3,0.048,265.07,40.56,27.15,33.85,10
55,1983,4,0.053,266.79,45.87,23.21,34.54,10
56,1983,5,0.055,267.6,44.16,25.26,34.71,10
57,1983,6,0.053,268.0,37.29,29.22,33.26,10
58,1983,7,0.055,269.29,35.21,29.52,32.36,10
59,1983,8,0.056,269.95,33.38,33.67,33.53,10
60,1983,9,0.059,270.51,32.43,39.45,35.94,10
61,1983,10,0.069,272.06,34.26,41.18,37.72,10
62,1983,11,0.079,273.5,34.58,41.42,38.0,10
63,1983,12,0.094,275.2,36.01,45.61,40.81,10
64,1983,13,0.115,277.61,37.83,48.46,43.15,10
65,1983,14,0.14,280.32,39.06,51.07,45.07,10
66,1983,15,0.175,283.67,43.08,49.66,46.37,10
67,1983,16,0.21,286.18,45.32,51.71,48.52,10
68,1983,17,0.248,288.5,47.46,51.46,49.46,10
69,1983,18,0.288,290.43,50.75,49.46,50.1,10
70,1983,19,0.325,291.82,51.59,49.06,50.33,10
71,1983,20,0.356,293.3,50.73,46.6,48.67,10
72,1983,21,0.378,293.81,46.66,50.15,48.4,10
73,1983,22,0.393,294.04,42.16,52.95,47.56,10
74,1983,23,0.402,294.16,37.41,54.99,46.2,10
75,1983,24,0.393,293.24,26.54,67.4,46.97,10
76,1983,25,0.384,292.87,20.18,74.35,47.27,10
77,1983,26,0.381,293.39,19.29,70.08,44.69,10
78,1983,27,0.375,293.33,17.16,72.8,44.98,10
79,1983,28,0.361,292.95,13.57,78.56,46.07,10
80,1983,29,0.348,292.55,12.27,83.99,48.13,10
81,1983,30,0.338,292.39,13.15,84.3,48.72,10
82,1983,31,0.342,292.62,18.02,80.51,49.26,10
83,1983,32,0.344,292.92,21.75,76.14,48.95,10
84,1983,33,0.346,293.59,25.19,65.37,45.28,10
85,1983,34,0.349,294.19,33.52,51.69,42.6,10
86,1983,35,0.352,294.75,45.89,35.5,40.69,10
87,1983,36,0.342,294.42,52.23,27.45,39.84,10
88,1983,37,0.322,293.12,51.88,27.61,39.75,10
89,1983,38,0.301,291.76,50.34,25.99,38.16,10
90,1983,39,0.282,290.23,50.08,24.91,37.49,10
91,1983,40,0.254,288.28,44.78,26.14,35.46,10
92,1983,41,0.217,285.82,35.53,28.85,32.19,10
93,1983,42,0.182,283.27,27.9,35.88,31.89,10
94,1983,43,0.151,280.95,23.97,37.71,30.84,10
95,1983,44,0.127,278.03,22.87,38.16,30.52,10
96,1983,45,0.105,274.94,21.64,39.29,30.46,10
97,1983,46,0.083,272.06,19.31,39.67,29.49,10
98,1983,47,0.068,269.81,20.31,38.17,29.24,10
99,1983,48,0.058,268.56,22.39,34.82,28.6,10
100,1983,49,0.049,267.38,21.62,32.57,27.1,10
101,1983,50,0.043,266.47,20.27,28.49,24.38,10
102,1983,51,0.04,265.56,21.95,24.14,23.05,10
103,1983,52,0.041,264.97,27.55,23.57,25.56,10
104,1986,1,0.025,249.14,12.35,82.64,47.49,10
105,1986,2,0.026,250.0,14.87,80.43,47.65,10
106,1986,3,0.025,251.35,17.0,75.9,46.45,10
107,1986,4,0.024,252.79,17.58,70.41,44.0,10
